course_number,course_title,title,author,director,format,year,notes,id,genre,country,gender,count
Engl 1100,How Reading Changes Your Life,Fun Home,Alison Bechdel,,book,2006,,26135825,,USA,female,1
Engl 1100,How Reading Changes Your Life,Days of Distraction,Alexandra Chang,,book,2020,,52973514,Fiction,USA,female,1
Engl 1100,How Reading Changes Your Life,Narrative of the Life of Frederick Douglass,Frederick Douglass,,,1845,,36529,"Nonfiction, History",USA,male,1
Engl 1100,How Reading Changes Your Life,Narrative of the Life of Frederick Douglass,Frederick Douglass,,,1845,,36529,"Nonfiction, History",USA,male,1
Engl 1100,How Reading Changes Your Life,Frankenstein,Mary Shelley,,book,1818,,35031085,"Classics, Fiction, Horror",United Kingdom,female,1
Engl 1100,How Reading Changes Your Life,Salvage the Bones,Jesmyn Ward,,book,2011,,10846336,"Fiction, Contemporary, Literary fiction",USA,female,1
Engl 1100,How Reading Changes Your Life,To the Lighthouse,Virginia Woolf,,book,1927,,59716,"Classics, Fiction, Literature",United Kingdom,female,1
Engl 1100,How Reading Changes Your Life,How We Read: Tales Fury Nothing Sound,Suzanne Akbari,,book,2019,,52090290,,USA,female,1
Engl 1105,Queerness of the Imagination,Every Heart a Doorway,Seanan McGuire,,book,2016,,25526296,"Fantasy, Young Adult, Fiction",USA,female,1
Engl 1105,Queerness of the Imagination,The Weight of the Stars,K. Ancrum,,book,2019,,36952571,"Young Adult, Science Fiction, LGBT",USA,female,1
Engl 1105,Queerness of the Imagination,San Junipero,,Owen Harris,film,2016,,N/A,Science Fiction,United Kingdom,male,1
Engl 1105,Queerness of the Imagination,Steven Universe,,Rebecca Sugar,tv series,2013,I LOVE THAT SHE INCLUDED STEVEN UNIVERSEEE,,,USA,female,1
Engl 1105,Queerness of the Imagination,The Long Way to a Small Angry Planet,Becky Chambers,,book,2014,,22733729,"Science Fiction, Fiction, LGBT",USA,female,1
Engl 1105,Queerness of the Imagination,Cruising Utopia,Jose Esteban Munoz,,book,2009,,6664343,"Queer, nonfiction",Cuba,male,1
Engl 1105,Queerness of the Imagination,After the Party,Joshua Chambers-Letson,,book,2018,,36747922,"Queer, nonfiction",USA,male,1
Engl 1105,Bisexual Characters and their stories,Cenzontle,Marcelo Hernandez Castillo,,,,,,,,,1
Engl 1158,The myth of the american teenager,Carrie,Stephan King,,,,,,,,,1
Engl 1158,The myth of the american teenager,Wild Hundreds,Nate Marshall,,,,,,,,,1
Engl 1158,The myth of the american teenager,Chemistry,Weike Wang,,,,,,,,,1
Engl 1158,The myth of the american teenager,Under the Feet of Jesus,Helena Maria Viramontes,,,,,,,,,1
Engl 1120,Writing Ecology,Ursula K Leguin,The Word for World is Forest,,,,,,,,,1
Engl 1147,Mystery in the story,The Evolution of Physics,"Albert Einstein, Leopold Infeld",,,,,,,,,1
Engl 1147,Mystery in the story,Environment,Chester Grier,,,,,,,,,1
Engl 1147,Mystery in the story,The Haunting of Hill House,Shirley Jackson,,,,,,,,,1
Engl 1147,Mystery in the story,The Song is You,Megan Abbott,,,,,,,,,1
Engl 1134,True Stories,Beloved,Toni Morisson,,,,,,,,,1
Engl 1168,horror fact and horror fiction,The Yellow Wallpaper,Charlotte Perkins Gilman,,,,,,,,,1
Engl 1168,horror fact and horror fiction,"Men, Women, and Chainsaws: Gender and the Modern Horror Film",Carol Clover,,,,,,,,,1
Engl 1168,horror fact and horror fiction,Tell My Horse,Zora Neale Hurston,,,,,,,,,1
Engl 1168,horror fact and horror fiction,World War Z,Max Brooks,,,,,,,,,1
Engl 1168,horror fact and horror fiction,Embroidery,Ray Bradbury,,,,,,,,,1
Engl 1168,horror fact and horror fiction,"""There Will Come Soft Rains",Ray Bradbury,,,,,,,,,1
Engl 1168,horror fact and horror fiction,The Veld,Ray Bradbury,,,,,,,,,1
Engl 1168,horror fact and horror fiction,Time Enough at Last,Lynn Venable,,,,,,,,,1
Engl 1168,horror fact and horror fiction,I Have No Mouth and I Must Scream,Harlan Ellison,,,,,,,,,1
Engl 1168,horror fact and horror fiction,Call of Cthulu,HP Lovecraft,,,,,,,,,1
Engl 1183,Word and Image,Citizen: An American Lyric,Claudia Rankine,,,,,,,,,1
Engl 1183,Word and Image,Conditional Citizens,Laila Lalami,,,,,,,,,1
Engl 1183,Word and Image,A Small Place,Jamaica Kincaid,,,,,,,,,1
Engl 1183,Word and Image,La Bastarda,Trifonia Melibea Obono,,,,,,,,,1
Engl 1183,Word and Image,The Vegetarian,Han Kang,,,,,,,,,1
Engl 1183,Word and Image,Autobiography,Assata Shakur,,,,,,,,,1
Engl 1183,Word and Image,The Summer We Got Free,Mia McKenzie,,,,,,,,,1
Engl 1191,"Medieval Ireland: Gods, God, and Fighting Men",The T�in,Ciar�n Carson,,,,,,,,,1
Engl 1191,"Medieval Ireland: Gods, God, and Fighting Men",Early Irish Myths and Sagas,Jeffrey Gantz,,,,,,,,,1
Engl 1191,"Medieval Ireland: Gods, God, and Fighting Men",The History and Topography of Ireland,Gerald of Wales,,,,,,,,,1
Engl 1191,British Literature: Oscar Wilde,The Picture of Dorian Gray,Oscar Wilde,,,,,,,,,1
Engl 1191,British Literature: Oscar Wilde,Salom�,Oscar Wilde,,,,,,,,,1
Engl 1191,British Literature: Oscar Wilde,The Importance of Being Earnest,Oscar Wilde,,,,,,,,,1
Engl 1191,British Literature: Oscar Wilde,Two Loves,Lord Alfred Douglas,,,,,,,,,1
Engl 1191,British Literature: Oscar Wilde,In Praise of Shame,"Lord Alfred Douglas,",,,,,,,,,1
Engl 1191,British Literature: Oscar Wilde,Against Nature,Joris-Karl Huysmans,,,,,,,,,1
Engl 1191,British Literature: Oscar Wilde,Oscar Wilde,De Profundis,,,,,,,,,1
Engl 1191,British Literature: Oscar Wilde,Wilde,,"Brian Gilbert,",,,,,,,,1
Engl 1191,British Literature: Oscar Wilde,The Happy Prince,Oscar Wilde,,,,,,,,,1
Engl 1191,British Literature: Oscar Wilde,The Happy Prince,Rupert Everett,,,,,,,,,1
ENGL 1168,CULTURAL STUDIES: RURAL MEDIA,Potted Meat,Steven Dunn,,,,,,,,,1
ENGL 1168,CULTURAL STUDIES: RURAL MEDIA,Night In The Woods,,,video game,,,,,,,1
ENGL 1168,CULTURAL STUDIES: RURAL MEDIA,Buckwild,,,tv show,,,,,,,1
ENGL 1168,CULTURAL STUDIES: RURAL MEDIA,Brokeback Mountain,,Ang Lee,,,,,,,,1
ENGL 1168,Reading ROle Playing Games,Homo Ludens,Johan Huizinga,,,,,,,,,1
ENGL 1168,Reading ROle Playing Games,Theory of Fun for Game Design,Raph Koster,,,,,,,,,1
ENGL 1168,Reading ROle Playing Games,Playing at the World,Jon Peterson,,,,,,,,,1
ENGL 1168,Reading ROle Playing Games,Carnage Amongst the Stars,Gregor Hutton,,,,,,,,,1
ENGL 1168,Reading ROle Playing Games,The Call of Cthulhu,HP Lovecraft,,,,,,,,,1
ENGL 1168,Reading ROle Playing Games,Call of Cthulhu 7th Edition Quickstart Rules,"Mike Mason, Paul Fricker, and Sandy Petersen",,,,,,,,,1
ENGL 1168,Reading ROle Playing Games,Between the World and Me,Ta-Nehisi Coates,,,,,,,,,1
ENGL 1168,Reading ROle Playing Games,Harlem Unbound,"Alex Mayo, Bob Geis, Neall Raemonn Price, Sarah Hood",,,,,,,,,1
ENGL 1168,Reading ROle Playing Games,Bluebeard�s Bride,Marissa Kelly,,,,,,,,,1
ENGL 1168,Reading ROle Playing Games,Apocalypse World,,,role-playing game,,,,,,,1
ENGL 1168,Reading ROle Playing Games,Night Witches,,,role-playing game,,,,,,,1
ENGL 1168,Reading ROle Playing Games,Dream Askew / Dream Apart,Avery Alder,,role-playing game,,,,,,,1
ENGL 1168,Reading ROle Playing Games,The Functions of Roleplaying Games,Sarah Lynne Bowman,,,,,,,,,1
ENGL 1168,Reading ROle Playing Games,Monsterhearts 2,Avery Alder,,,,,,,,,1
ENGL 1168,Reading ROle Playing Games,Seven Wonders,,,role-playing game,,,,,,,1
ENGL 1168,Reading ROle Playing Games,#Feminism,,,role-playing game,,,,,,,1
ENGL 1168,Reading ROle Playing Games,Star-Crossed,,,role-playing game,,,,,,,1
ENGL 1168,Reading ROle Playing Games,The quiet year,,,role-playing game,,,,,,,1
ENGL 1168,Reading ROle Playing Games,Fiasco,Jason Morningstar,,role-playing game,,,,,,,1
ENGL 1168,Reading ROle Playing Games,Hillfolk,Robin Laws,,role-playing game,,,,,,,1
ENGL 1xxx,Course Name Ommited By Request,The Cows,Lydia Davis,,,,,,,,,1
ENGL 1xxx,Course Name Ommited By Request,The Embassy of Cambodia,Zadie Smith,,,,,,,,,1
ENGL 1xxx,Course Name Ommited By Request,Kew Gardens,Virginia Wold,,,,,,,,,1
ENGL 1xxx,Course Name Ommited By Request,Convenience Store Women,Sayaka Murata,,,,,,,,,1
ENGL 1xxx,Course Name Ommited By Request,The critic as artist,oscar wild,,,1891,,,,,,1
ENGL 1xxx,Course Name Ommited By Request,Here,Richard McGuire,,,,,,,,,1
ENGL 1111,Documenting Crisis,Man with a Movie Camera,,Dziga Vertov,film,1929,,,,,,1
ENGL 1111,Documenting Crisis,The Book of the Dead,,"Muriel Rukeyser,",film,,,,,,,1
ENGL 1111,Documenting Crisis,The Triumph of the Will,,Leni Riefenstahl,film,1935,,,,,,1
ENGL 1111,Documenting Crisis,Gasland,Josh Fox,,,2010,,,,,,1
ENGL 1111,Documenting Crisis,Pedaling the Sacrifice Zone,Jimmy Guignard,,,2015,,,,,,1
ENGL 1111,Documenting Crisis,FrackNation,Phelim McAleer,,,2013,,,,,,1
ENGL 1111,Documenting Crisis,Truthland,,N/A,,2012,,,,,,1
ENGL 1111,Documenting Crisis,Dryden � The Small Town that Changed the Fracking Game,,Earthjustice,,2014,,,,,,1
ENGL 1111,Documenting Crisis,Zero Hour: �The Massacre at Columbine High School�,,N/A,tv show,2004,,,,,,1
ENGL 1111,Documenting Crisis,Parkland: Inside Building 12,,Charlie Minn,,2018,,,,,,1
ENGL 1111,Documenting Crisis,The Things They Carried,Tim O'Brien,,,1990,,,,,,1
ENGL 1111,Documenting Crisis,Restrepo,Tim Hetherington and Sebastian Junger,,,2010,,,,,,1
ENGL 1111,Documenting Crisis,Alt-Right: Age of Rage,Adam Bhala Lough,,,2018,,,,,,1
ENGL 1111,Documenting Crisis,Manufactured Landscapes,,Jennifer Baichwal,,2006,,,,,,1
ENGL 1111,Documenting Crisis,Nazi Mega Weapons: �Super Tanks�,,,tv show,,,,,,,1
ENGL 1111,Documenting Crisis,3th,,Ava DuVernay,,2016,,,,,,1
ENGL 1111,Documenting Crisis,Char . . . The No-Man�s Island,,Sourav Sarangi,,2013,,,,,,1
ENGL 3795,Communicating Climate Change,Merchants of Doubt,,Robert Kenner,documentary,2014,,,,,,1
ENGL 3795,Communicating Climate Change,The Visual Display of Quantitative Information,Edward Tufte,,,1983,,,,,,1
ENGL 3795,Communicating Climate Change,Parable of the Sower,Octavia E. Butler,,,,,,,,,1
ENGL 3795,Communicating Climate Change,Snowpiercer,,Bong Joon Ho,film,2013,,,,,,1
ENGL 3795,Communicating Climate Change,Wall-E,,Andrew Stanton,film,2008,,,,,,1
ENGL 3795,Communicating Climate Change,Climate Resistance Handbook,Daniel Hunter,,,2019,,,,,,1
ENGL 4811,Advanced Narrative Writing,American Short Stories,,,,2020,,,,,,1
ENGL 4820,Shakespeare's Hamlet,Hamlet,Shakespeare,,play,1599,,,,,,1
ENGL 4820,Shakespeare's Hamlet,What Happens in Hamlet,John Dover Wilson,,,1935,,,,,,1
ENGL 4820,Shakespeare's Hamlet,Hamlet,Anthony B. Dawson,,,1995,,,,,,1
ENGL 4820,Shakespeare's Hamlet,The Masks of Hamlet,Marvin Rosenberg,,,1992,,,,,,1
ENGL 4909,Medieval Technologies of the Self,Piers Plowman,William Langland,,,,,,,,,1
ENGL 4909,Medieval Technologies of the Self,Pearl,Jane Beal,,,,,,,,,1
ENGL 4909,Medieval Technologies of the Self,,Leonara Carrington,,,,,,,,,1
ENGL 4757,"Be a Man! Masculinity, Race, and Nation","Dude, You're a Fag!",C.J. Pascoe,,,2007,,,,,,1
ENGL 4757,"Be a Man! Masculinity, Race, and Nation",Politics of Masculinities: Men in Movements,Michael Messner,,,1997,,,,,,1
ENGL 4757,"Be a Man! Masculinity, Race, and Nation",Just One of the Guys,Kristen Schilt,,,2010,,,,,,1
ENGL 4757,"Be a Man! Masculinity, Race, and Nation",Pose,,Ryan Glazer,tv show,2019,,,,,,1
ENGL 4757,"Be a Man! Masculinity, Race, and Nation",The New Normal,,"Ryan Murphy, Ali Adler",tv show,2012,,,,,,1
ENGL 4757,"Be a Man! Masculinity, Race, and Nation",Broad City,,"Ilana Glazer, Abbi Jacobson",tv show,2014,,,,,,1
ENGL 4757,"Be a Man! Masculinity, Race, and Nation",Charlottesville,,VICE,documentary,2017,,,,,,1
ENGL 4625,Contemporary Native American Fiction,The Round House,Louise Erdrich,,,2012,,,,,,1
ENGL 4625,Contemporary Native American Fiction,Solar Storms,Linda Hogan,,,1994,,,,,,1
ENGL 4625,Contemporary Native American Fiction,Firesticks,Diane Glancy,,,1993,,,,,,1
ENGL 4625,Contemporary Native American Fiction,The Dance Boots,Linda Legarde Grover,,,2010,,,,,,1
ENGL 4625,Contemporary Native American Fiction,The Sacred White Turkey,Frances Washburn,,,2010,,,,,,1
ENGL 4625,Contemporary Native American Fiction,The Marrow Thieves,Cherie Dimaline,,,2017,,,,,,1
ENGL 4625,Contemporary Native American Fiction,Ledfeather,Stephen Graham Jones,,,2008,,,,,,1
ENGL 4625,Contemporary Native American Fiction,ThereThere,Tommy Orange,,,2018,,,,,,1
ENGL 4603,New Black Women Writers of the South,Create Dangerously,Edwidge Danticat,,,2010,,,,,,1
ENGL 4603,New Black Women Writers of the South,The Age of Phillis,Honor�e Fanonne Jeffers,,,2020,,,,,,1
ENGL 4603,New Black Women Writers of the South,An American Marriage,Tayari Jones,,,2018,,,,,,1
ENGL 4603,New Black Women Writers of the South,Balm,Dolen Perkins-Valdez,,,2015,,,,,,1
ENGL 4603,New Black Women Writers of the South,Memorial Drive: A Daughter's Memoir,Natasha Tretheway,,,2020,,,,,,1
ENGL 4603,New Black Women Writers of the South,Salvage the Bones,Jesmyn Ward,,,2011,,,,,,1
ENGL 4603,New Black Women Writers of the South,Jam on the Vine,LaShonda Katrice Barnett,,,2015,,,,,,1
ENGL 4603,New Black Women Writers of the South,Waste,Catherine Coleman Flowers,,,2020,,,,,,1
ENGL 4603,New Black Women Writers of the South,Breathe: A Letter to My Sons,Imani Perry,,,2019,,,,,,1
ENGL 4603,New Black Women Writers of the South,Honeypot: Black Southern Women Who Love Women,E. Patrick Johnson,,,2019,,,,,,1
ENGL 4603,New Black Women Writers of the South,Chained in Silence,Talitha L. LeFlouria,,,2015,,,,,,1
ENGL 4603,New Black Women Writers of the South,Emancipation's Daughters: Reimagining Black Femininity and the National Body,Rich� Richardson,,,2020,,,,,,1
