Location ID,Location,Value
AL-001,Autauga County,68.7
AL-003,Baldwin County,71.2
AL-005,Barbour County,68.7
AL-007,Bibb County,66.8
AL-009,Blount County,65.3
AL-011,Bullock County,68.3
AL-013,Butler County,69.2
AL-015,Calhoun County,65.7
AL-017,Chambers County,65.7
AL-019,Cherokee County,65
AL-021,Chilton County,67
AL-023,Choctaw County,68.9
AL-025,Clarke County,69.3
AL-027,Clay County,65.1
AL-029,Cleburne County,64.9
AL-031,Coffee County,69.9
AL-033,Colbert County,64.5
AL-035,Conecuh County,69.7
AL-037,Coosa County,66.5
AL-039,Covington County,70
AL-041,Crenshaw County,68.9
AL-043,Cullman County,64.8
AL-045,Dale County,70
AL-047,Dallas County,69.1
AL-049,DeKalb County,63.2
AL-051,Elmore County,68.1
AL-053,Escambia County,70.2
AL-055,Etowah County,65.2
AL-057,Fayette County,66.2
AL-059,Franklin County,64
AL-061,Geneva County,70.6
AL-063,Greene County,67.6
AL-065,Hale County,67.4
AL-067,Henry County,69.9
AL-069,Houston County,71
AL-071,Jackson County,63.4
AL-073,Jefferson County,66.4
AL-075,Lamar County,66.2
AL-077,Lauderdale County,64.2
AL-079,Lawrence County,63.9
AL-081,Lee County,67
AL-083,Limestone County,64
AL-085,Lowndes County,69.5
AL-087,Macon County,68.1
AL-089,Madison County,64.1
AL-091,Marengo County,68.3
AL-093,Marion County,64.7
AL-095,Marshall County,64.5
AL-097,Mobile County,71
AL-099,Monroe County,69.7
AL-101,Montgomery County,69.1
AL-103,Morgan County,64.5
AL-105,Perry County,67.7
AL-107,Pickens County,67.2
AL-109,Pike County,68.9
AL-111,Randolph County,65
AL-113,Russell County,68
AL-115,St. Clair County,65.9
AL-117,Shelby County,66.5
AL-119,Sumter County,68.1
AL-121,Talladega County,66.4
AL-123,Tallapoosa County,66.2
AL-125,Tuscaloosa County,67.1
AL-127,Walker County,65.9
AL-129,Washington County,69.7
AL-131,Wilcox County,69.4
AL-133,Winston County,64
AZ-001,Apache County,55.9
AZ-003,Cochise County,66
AZ-005,Coconino County,58.4
AZ-007,Gila County,65.2
AZ-009,Graham County,66.2
AZ-011,Greenlee County,61.7
AZ-012,La Paz County,76.3
AZ-013,Maricopa County,75.5
AZ-015,Mohave County,67.6
AZ-017,Navajo County,57.6
AZ-019,Pima County,72.3
AZ-021,Pinal County,73.9
AZ-023,Santa Cruz County,65
AZ-025,Yavapai County,64.4
AZ-027,Yuma County,76.9
AR-001,Arkansas County,65.8
