Date,Value,Anomaly
199012,53.51,1.49
199112,53.16,1.14
199212,52.60,0.58
199312,51.26,-0.76
199412,52.87,0.85
199512,52.65,0.63
199612,51.88,-0.14
199712,52.20,0.18
199812,54.23,2.21
199912,53.88,1.86
200012,53.27,1.25
200112,53.69,1.67
200212,53.21,1.19
200312,53.26,1.24
200412,53.10,1.08
200512,53.64,1.62
200612,54.25,2.23
200712,53.65,1.63
200812,52.29,0.27
200912,52.39,0.37
201012,52.98,0.96
201112,53.18,1.16
201212,55.28,3.26
201312,52.43,0.41
201412,52.54,0.52
201512,54.40,2.38
201612,54.92,2.90
201712,54.55,2.53
201812,53.52,1.50
201912,52.68,0.66
